BATCH,CONTEXT LENGTH,CURSOR POSITION,COMPLETION LENGTH,WITH HISTORY,BEFORE CURSOR,AFTER CURSOR,GENERATED TEXT,HIDDEN ORIGINAL
1,no,sentence_middle,short,True,"McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, ",,"playing alongside him,","playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.
But McIlroy parred his final two holes to close out victory."
1,no,sentence_middle,short,False,"McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, ",,who had a one-,"playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.
But McIlroy parred his final two holes to close out victory."
1,no,sentence_middle,medium,True,"McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, ",,"playing alongside him, birdied three of those holes to pull within one shot.","playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.
But McIlroy parred his final two holes to close out victory."
1,no,sentence_middle,medium,False,"McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, ",,"who had a one-shot lead after 13 holes, bogeyed three of his last five","playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.
But McIlroy parred his final two holes to close out victory."
1,no,sentence_middle,long,True,"McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, ",,"playing alongside him, birdied three of those holes to pull within one shot. McIlroy then missed a short putt on No. 17 for bogey, giving Meronk a chance to tie him on the final hole. But","playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.
But McIlroy parred his final two holes to close out victory."
1,no,sentence_middle,long,False,"McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, ",,"who had a one-shot lead after 13 holes, bogeyed three of his last five.

""I'm just really happy with how I finished,"" McIlroy said. ""It was nice to get it done in style","playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.
But McIlroy parred his final two holes to close out victory."
1,no,sentence_end,short,True,"...Ilroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.",,McIlroy finished with,But McIlroy parred his final two holes to close out victory.
1,no,sentence_end,short,False,"...Ilroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.",,"""I'",But McIlroy parred his final two holes to close out victory.
1,no,sentence_end,medium,True,"...Ilroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.",,"McIlroy, who started three shots behind, finished with a 66 to join Meron",But McIlroy parred his final two holes to close out victory.
1,no,sentence_end,medium,False,"...Ilroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.",,"""I'm just trying to stay patient,"" McIlroy said after his round.",But McIlroy parred his final two holes to close out victory.
1,no,sentence_end,long,True,"...Ilroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under.",,"McIlroy, who won the tournament in 2015, missed a six-foot putt for birdie on the final hole to finish tied for third alongside Tommy Fleetwood and Matt Fitzpatrick. ""It's frustrating",But McIlroy parred his final two holes to close out victory.
