BATCH,CONTEXT LENGTH,CURSOR POSITION,COMPLETION LENGTH,WITH HISTORY,BEFORE CURSOR,AFTER CURSOR,GENERATED TEXT,HIDDEN MASKET TEXT
1,no,sentence_middle,short,True,"""It was one of those days where there wasn't a tonne of fireworks because the course was pl",,"agued with issues,""","aying so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run... incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_middle,short,False,"""It was one of those days where there wasn't a tonne of fireworks because the course was pl",,agued by rain and,"aying so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run... incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_middle,medium,True,"""It was one of those days where there wasn't a tonne of fireworks because the course was pl",,"agued with rain throughout the day,"" said spectator Sarah Johnson.","aying so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run... incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_middle,medium,False,"""It was one of those days where there wasn't a tonne of fireworks because the course was pl",,"agued by rain and wind, but it still felt like an incredible experience,"" says Tiger Woods","aying so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run... incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_middle,long,True,"""It was one of those days where there wasn't a tonne of fireworks because the course was pl",,"agued by rain throughout the day,"" said race director John Duggan. ""But the weather cleared up just enough for us to get things done safely and efficiently.""

Despite the challenging conditions, several records were set during the event.","aying so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run... incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_middle,long,False,"""It was one of those days where there wasn't a tonne of fireworks because the course was pl",,"agued by rain and wind, but I managed to get through it,"" said McIlroy. ""I didn't make many mistakes today which is always nice.""

McIlroy carded an even-par round of 72","aying so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run... incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_end,short,True,"...days where there wasn't a tonne of fireworks because the course was playing so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run...",,It feels great to get,"incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_end,short,False,"...days where there wasn't a tonne of fireworks because the course was playing so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run...",,It feels great to be,"incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_end,medium,True,"...days where there wasn't a tonne of fireworks because the course was playing so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run...",,"It feels great to get my first European Tour title under my belt!"" #RolexSeries pic.","incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_end,medium,False,"...days where there wasn't a tonne of fireworks because the course was playing so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run...",,It feels great to get my first win in Europe.,"incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_end,long,True,"...days where there wasn't a tonne of fireworks because the course was playing so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run...",,"so I ended up getting my third win of the year!"" #GolfTwitter pic.twitter.com/gJhqKjXWkZ— Justin Thomas (@JustinThomas34) May 21,","incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,no,sentence_end,long,False,"...days where there wasn't a tonne of fireworks because the course was playing so difficult, but I held on as best as I could and thankfully no-one around the top of the leaderboard made much of a run...",,"It feels good to get another win under my belt."" - Jordan Spieth.

Jordan Spieth has won his third PGA Tour title in just over two months after holding off a late challenge from Dustin Johnson at","incredible to get my fourth win here.""
McIlroy's victory followed his second-placed finish in the Dubai Invitational the previous weekend."
1,short,sentence_middle,short,True,"""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a gre","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.",eting to the new season,"at platform to build from. I know I am playing good golf.
""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,short,sentence_middle,short,False,"""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a gre","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.",et way to get things,"at platform to build from. I know I am playing good golf.
""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
